# Date; Debit
2025-10-15 00:00; 15.2
2025-10-15 06:00; 15.5
2025-10-15 12:00; 15.1
2025-10-15 18:00; 14.9
2025-10-16 00:00; 14.8
2025-10-16 06:00; 14.7
2025-10-16 12:00; 14.6
2025-10-16 18:00; 14.5
2025-10-17 12:00; 12.0
2025-10-18 12:00; 13.0
2025-10-19 12:00; 14.0
2025-10-20 12:00; 15.0
2025-10-21 00:00; 14.2
2025-10-21 12:00; 14.5
2025-10-22 00:00; 14.0
2025-10-22 12:00; 13.5
2025-10-23 00:00; 13.2
2025-10-23 12:00; 12.8
2025-10-24 00:00; 12.5
2025-10-24 12:00; 12.0
2025-10-25 00:00; 12.2
2025-10-25 12:00; 13.5
2025-10-26 12:00; 14.0
2025-10-27 12:00; 15.5
2025-10-28 12:00; 16.0
2025-10-29 12:00; 16.5
2025-10-30 12:00; 17.0
2025-10-31 00:00; 17.5
2025-10-31 12:00; 18.0
2025-11-01 12:00; 15.0
2025-11-02 12:00; 14.0
2025-11-03 12:00; 13.0
2025-11-04 12:00; 12.0
2025-11-05 12:00; 11.5
2025-11-06 12:00; 11.0
2025-11-07 00:00; 10.5
2025-11-07 06:00; 10.4
2025-11-07 12:00; 10.2
2025-11-07 18:00; 10.1
2025-11-08 12:00; 10.0
2025-11-09 12:00; 9.8
2025-11-10 12:00; 9.5
2025-11-11 12:00; 9.2
2025-11-12 12:00; 9.0
2025-11-13 12:00; 8.8
2025-11-14 12:00; 8.5
2025-11-15 12:00; 8.2
